 x	MCS15	MCS14	MCS13	MCS12	MCS11	MCS10	MCS09	MCS08	MCS07	MCS06	MCS05	MCS04	MCS03	MCS02	MCS01	
-9.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9946	
-9.49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.994279	
-9.48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993959	
-9.47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993639	
-9.46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993318	
-9.45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992998	
-9.44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992678	
-9.43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992358	
-9.42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.992038	
-9.41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991718	
-9.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991399	
-9.39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991079	
-9.38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99076	
-9.37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.990351	
-9.36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.989854	
-9.35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.989357	
-9.34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98886	
-9.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.988364	
-9.32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.987867	
-9.31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.987371	
-9.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.986875	
-9.29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98638	
-9.28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.985884	
-9.27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.985389	
-9.26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.984895	
-9.25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9844	
-9.24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.983669	
-9.23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.982938	
-9.22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.982208	
-9.21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.981479	
-9.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98075	
-9.19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.980021	
-9.18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.979294	
-9.17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.978566	
-9.16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.977839	
-9.15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.977113	
-9.14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.976388	
-9.13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.975662	
-9.12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.974963	
-9.11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.974288	
-9.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.973614	
-9.09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.972941	
-9.08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.972268	
-9.07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.971595	
-9.06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970923	
-9.05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970251	
-9.04	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96958	
-9.03	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.968909	
-9.02	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.968239	
-9.01	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.967569	
-9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9669	
-8.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.965423	
-8.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.963948	
-8.97	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.962476	
-8.96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.961006	
-8.95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.959538	
-8.94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.958072	
-8.93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.956609	
-8.92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.955148	
-8.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.953689	
-8.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.952232	
-8.89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.950778	
-8.88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.949325	
-8.87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.947849	
-8.86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.946349	
-8.85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.94485	
-8.84	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.943355	
-8.83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.941862	
-8.82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.940371	
-8.81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.938882	
-8.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.937396	
-8.79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.935912	
-8.78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.93443	
-8.77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.932951	
-8.76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.931474	
-8.75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.93	
-8.74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.927473	
-8.73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.924953	
-8.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.922439	
-8.71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.919933	
-8.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.917433	
-8.69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91494	
-8.68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.912454	
-8.67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.909974	
-8.66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.907502	
-8.65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.905036	
-8.64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.902576	
-8.63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.900124	
-8.62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.897643	
-8.61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.895135	
-8.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.892633	
-8.59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.890139	
-8.58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.887651	
-8.57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.885171	
-8.56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.882697	
-8.55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.88023	
-8.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.877771	
-8.53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.875318	
-8.52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.872872	
-8.51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.870432	
-8.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.868	
-8.49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.864855	
-8.48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.861722	
-8.47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8586	
-8.46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.855489	
-8.45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.85239	
-8.44	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.849302	
-8.43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.846225	
-8.42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.843159	
-8.41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.840105	
-8.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.837061	
-8.39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.834028	
-8.38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.831007	
-8.37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.827064	
-8.36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.822214	
-8.35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.817392	
-8.34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.812598	
-8.33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.807832	
-8.32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.803095	
-8.31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.798385	
-8.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.793703	
-8.29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.789048	
-8.28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.78442	
-8.27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.77982	
-8.26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.775247	
-8.25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7707	
-8.24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.765926	
-8.23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.761181	
-8.22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.756465	
-8.21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.751779	
-8.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.747122	
-8.19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.742493	
-8.18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.737894	
-8.17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.733322	
-8.16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.72878	
-8.15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.724265	
-8.14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.719778	
-8.13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.715319	
-8.12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.71051	
-8.11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.705359	
-8.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.700245	
-8.09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.695168	
-8.08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.690128	
-8.07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.685124	
-8.06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.680157	
-8.05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.675225	
-8.04	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.67033	
-8.03	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.66547	
-8.02	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.660645	
-8.01	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.655855	
-8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6511	
-7.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.645033	
-7.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.639023	
-7.97	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.633069	
-7.96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.62717	
-7.95	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.621327	
-7.94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.615537	
