 x	data2	data1	
0	0.018394	0.00082871	
0.01	0.0184124	0.00084122	
0.02	0.0184308	0.000853919	
0.03	0.0184492	0.000866809	
0.04	0.0184677	0.000879894	
0.05	0.0184862	0.000893176	
0.06	0.0185047	0.000906658	
0.07	0.0185232	0.000920344	
0.08	0.0185417	0.000934236	
0.09	0.0185603	0.000948337	
0.1	0.0185788	0.000962651	
0.11	0.0185974	0.000977181	
0.12	0.018616	0.000991929	
0.13	0.0186347	0.0010069	
0.14	0.0186533	0.0010221	
0.15	0.018672	0.00103752	
0.16	0.0186906	0.00105318	
0.17	0.0187093	0.00106907	
0.18	0.0187281	0.00108521	
0.19	0.0187468	0.00110158	
0.2	0.0187656	0.00111821	
0.21	0.0187843	0.00113508	
0.22	0.0188031	0.00115221	
0.23	0.0188219	0.0011696	
0.24	0.0188408	0.00118725	
0.25	0.0188596	0.00120516	
0.26	0.0188785	0.00122334	
0.27	0.0188974	0.0012418	
0.28	0.0189163	0.00126054	
0.29	0.0189352	0.00127955	
0.3	0.0189542	0.00129886	
0.31	0.0189731	0.00131845	
0.32	0.0189921	0.00133834	
0.33	0.0190111	0.00135853	
0.34	0.0190301	0.00137903	
0.35	0.0190492	0.00139983	
0.36	0.0190682	0.00142095	
0.37	0.0190873	0.00144238	
0.38	0.0191064	0.00146414	
0.39	0.0191255	0.00148622	
0.4	0.0191446	0.00150864	
0.41	0.0191638	0.00153139	
0.42	0.019183	0.00155449	
0.43	0.0192022	0.00157793	
0.44	0.0192214	0.00160173	
0.45	0.0192406	0.00162588	
0.46	0.0192599	0.0016504	
0.47	0.0192791	0.00167528	
0.48	0.0192984	0.00170055	
0.49	0.0193177	0.00172619	
0.5	0.0193371	0.00175221	
0.51	0.0193564	0.00177863	
0.52	0.0193758	0.00180545	
0.53	0.0193951	0.00183267	
0.54	0.0194146	0.0018603	
0.55	0.019434	0.00188834	
0.56	0.0194534	0.0019168	
0.57	0.0194729	0.0019457	
0.58	0.0194924	0.00197503	
0.59	0.0195119	0.0020048	
0.6	0.0195314	0.00203501	
0.61	0.0195509	0.00206568	
0.62	0.0195705	0.00209681	
0.63	0.0195901	0.00212841	
0.64	0.0196097	0.00216049	
0.65	0.0196293	0.00219304	
0.66	0.0196489	0.00222609	
0.67	0.0196686	0.00225963	
0.68	0.0196883	0.00229367	
0.69	0.019708	0.00232823	
0.7	0.0197277	0.00236331	
0.71	0.0197474	0.00239891	
0.72	0.0197672	0.00243505	
0.73	0.019787	0.00247173	
0.74	0.0198068	0.00250896	
0.75	0.0198266	0.00254674	
0.76	0.0198464	0.0025851	
0.77	0.0198663	0.00262403	
0.78	0.0198861	0.00266355	
0.79	0.019906	0.00270366	
0.8	0.019926	0.00274437	
0.81	0.0199459	0.00278569	
0.82	0.0199658	0.00282763	
0.83	0.0199858	0.0028702	
0.84	0.0200058	0.00291341	
0.85	0.0200258	0.00295727	
0.86	0.0200459	0.00300178	
0.87	0.0200659	0.00304696	
0.88	0.020086	0.00309282	
0.89	0.0201061	0.00313937	
0.9	0.0201262	0.00318661	
0.91	0.0201463	0.00323456	
0.92	0.0201665	0.00328323	
0.93	0.0201867	0.00333263	
0.94	0.0202069	0.00338277	
0.95	0.0202271	0.00343366	
0.96	0.0202473	0.00348531	
0.97	0.0202676	0.00353773	
0.98	0.0202879	0.00359094	
0.99	0.0203082	0.00364495	
1	0.0203285	0.00369976	
1.01	0.0203488	0.0037554	
1.02	0.0203692	0.00381186	
1.03	0.0203896	0.00386918	
1.04	0.02041	0.00392734	
1.05	0.0204304	0.00398638	
1.06	0.0204508	0.0040463	
1.07	0.0204713	0.00410712	
1.08	0.0204918	0.00416884	
1.09	0.0205123	0.00423149	
1.1	0.0205328	0.00429507	
1.11	0.0205533	0.00435961	
1.12	0.0205739	0.0044251	
1.13	0.0205945	0.00449158	
1.14	0.0206151	0.00455905	
1.15	0.0206357	0.00462752	
1.16	0.0206564	0.00469702	
1.17	0.020677	0.00476755	
1.18	0.0206977	0.00483914	
1.19	0.0207184	0.00491179	
1.2	0.0207391	0.00498553	
1.21	0.0207599	0.00506037	
1.22	0.0207807	0.00513632	
1.23	0.0208015	0.0052134	
1.24	0.0208223	0.00529163	
1.25	0.0208431	0.00537103	
1.26	0.020864	0.00545161	
1.27	0.0208848	0.00553339	
1.28	0.0209057	0.00561639	
1.29	0.0209266	0.00570063	
1.3	0.0209476	0.00578611	
1.31	0.0209685	0.00587287	
1.32	0.0209895	0.00596092	
1.33	0.0210105	0.00605028	
1.34	0.0210315	0.00614096	
1.35	0.0210526	0.006233	
1.36	0.0210736	0.0063264	
1.37	0.0210947	0.00642119	
1.38	0.0211158	0.00651739	
1.39	0.021137	0.00661501	
1.4	0.0211581	0.00671409	
1.41	0.0211793	0.00681463	
1.42	0.0212005	0.00691667	
1.43	0.0212217	0.00702021	
1.44	0.0212429	0.0071253	
1.45	0.0212642	0.00723194	
1.46	0.0212854	0.00734016	
1.47	0.0213067	0.00744999	
1.48	0.021328	0.00756144	
1.49	0.0213494	0.00767454	
1.5	0.0213707	0.00778931	
1.51	0.0213921	0.00790579	
1.52	0.0214135	0.00802398	
1.53	0.021435	0.00814393	
1.54	0.0214564	0.00826564	
1.55	0.0214779	0.00838916	
1.56	0.0214994	0.00851449	
1.57	0.0215209	0.00864168	
1.58	0.0215424	0.00877075	
1.59	0.021564	0.00890172	
1.6	0.0215855	0.00903462	
1.61	0.0216071	0.00916948	
1.62	0.0216287	0.00930633	
1.63	0.0216504	0.0094452	
1.64	0.021672	0.0095861	
1.65	0.0216937	0.00972909	
1.66	0.0217154	0.00987418	
1.67	0.0217372	0.0100214	
1.68	0.0217589	0.0101708	
1.69	0.0217807	0.0103224	
1.7	0.0218025	0.0104762	
1.71	0.0218243	0.0106322	
1.72	0.0218461	0.0107906	
1.73	0.021868	0.0109513	
1.74	0.0218898	0.0111143	
1.75	0.0219117	0.0112797	
1.76	0.0219337	0.0114476	
1.77	0.0219556	0.0116179	
1.78	0.0219776	0.0117907	
1.79	0.0219996	0.011966	
1.8	0.0220216	0.0121439	
1.81	0.0220436	0.0123244	
1.82	0.0220657	0.0125075	
1.83	0.0220877	0.0126933	
1.84	0.0221098	0.0128818	
1.85	0.022132	0.0130731	
1.86	0.0221541	0.0132672	
1.87	0.0221763	0.013464	
1.88	0.0221985	0.0136638	
1.89	0.0222207	0.0138664	
1.9	0.0222429	0.014072	
1.91	0.0222652	0.0142806	
1.92	0.0222874	0.0144922	
1.93	0.0223097	0.0147069	
1.94	0.0223321	0.0149247	
1.95	0.0223544	0.0151456	
1.96	0.0223768	0.0153698	
1.97	0.0223991	0.0155972	
1.98	0.0224216	0.0158279	
1.99	0.022444	0.0160619	
2	0.0224664	0.0162993	
2.01	0.0224889	0.0165402	
2.02	0.0225114	0.0167845	
2.03	0.0225339	0.0170323	
2.04	0.0225565	0.0172837	
2.05	0.0225791	0.0175388	
2.06	0.0226017	0.0177975	
2.07	0.0226243	0.0180599	
2.08	0.0226469	0.0183261	
2.09	0.0226696	0.0185961	
2.1	0.0226922	0.01887	
2.11	0.0227149	0.0191478	
2.12	0.0227377	0.0194296	
2.13	0.0227604	0.0197154	
2.14	0.0227832	0.0200053	
2.15	0.022806	0.0202993	
2.16	0.0228288	0.0205976	
2.17	0.0228516	0.0209001	
2.18	0.0228745	0.0212069	
2.19	0.0228974	0.021518	
2.2	0.0229203	0.0218336	
2.21	0.0229432	0.0221537	
2.22	0.0229662	0.0224783	
2.23	0.0229892	0.0228076	
2.24	0.0230122	0.0231415	
2.25	0.0230352	0.0234801	
2.26	0.0230582	0.0238235	
2.27	0.0230813	0.0241717	
2.28	0.0231044	0.0245249	
2.29	0.0231275	0.024883	
2.3	0.0231507	0.0252462	
2.31	0.0231738	0.0256145	
2.32	0.023197	0.0259879	
2.33	0.0232202	0.0263666	
