 x	data3	data2	data1	
0	0	0	0	
0.01	0.1	0.0630957	0.01	
0.02	0.141421	0.0956352	0.02	
0.03	0.173205	0.121976	99.9948	
0.04	0.2	0.144956	99.992	
0.05	0.223607	0.165723	99.9888	
0.06	0.244949	0.18488	99.9853	
0.07	0.264575	0.202796	99.9815	
0.08	0.282843	0.219712	99.9774	
0.09	0.3	0.235801	99.973	
0.1	0.316228	0.251189	99.9684	
0.11	10	84.0411	99.9635	
0.12	10	84.0311	99.9584	
0.13	10	84.0211	99.9531	
0.14	10	84.0111	99.9476	
0.15	10	84.0011	99.9419	
0.16	10	83.9911	99.936	
0.17	10	83.9811	99.9299	
0.18	10	83.9711	99.9236	
0.19	10	83.9611	99.9172	
0.2	10	83.9511	99.9106	
0.21	10	83.9411	99.9038	
0.22	10	83.9311	99.8968	
0.23	10	83.9211	99.8897	
0.24	10	83.9111	99.8824	
0.25	10	83.9011	99.875	
0.26	10	83.8911	99.8674	
0.27	10	83.8811	99.8597	
0.28	10	83.8711	99.8518	
0.29	10	83.8611	99.8438	
0.3	10	83.8511	99.8357	
0.31	10	83.8411	99.8274	
0.32	10	83.8311	99.819	
0.33	10	83.8211	99.8104	
0.34	10	83.8111	99.8017	
0.35	10	83.8011	99.7929	
0.36	10	83.7911	99.784	
0.37	10	83.7811	99.7749	
0.38	10	83.7711	99.7658	
0.39	10	83.7611	99.7564	
0.4	10	83.7511	99.747	
