 x	UtilityLEIVoIPUP	UtilityLEIVoIP	UtilityLEIVoIPDOWN	UtilityLEICBRUP	UtilityLEICBR	UtilityLEICBRDOWN	QHMLWDFVoIPUP	QHMLWDFVoIP	QHMLWDFVoIPDOWN	QHMLWDFCBRUP	QHMLWDFCBR	QHMLWDFCBRDOWN	SongVoIPUP	SongVoIP	SongVoIPDOWN	SongCBRUP	SongCBR	SongCBRDOWN	EXPPFVoIPUP	EXPPFVoIP	EXPPFVoIPDOWN	EXPPFCBRUP	EXPPFCBR	EXPPFCBRDOWN	
103	0.0113718	0.943013	0.0240751	0.00908114	0.978773	0.0222222	0.0224688	0.944644	0.056174	0.00483198	0.987749	0.0170599	0.00470916	0.942987	0.00361066	0.0195458	0.942983	0.0318675	0.00239751	0.968933	0.00295307	0.0198629	0.956684	0.0265223	
104	0.0124191	0.934541	0.0215204	0.0114846	0.980182	0.0266745	0.025305	0.943202	0.0355764	0.0109583	0.980665	0.0167761	0.00443722	0.94352	0.00480497	0.0221232	0.941889	0.0321952	0.00224666	0.966096	0.00396558	0.0176488	0.966955	0.0371551	
105	0.015717	0.932964	0.0347931	0.00738077	0.986365	0.0095939	0.0312681	0.946015	0.041866	0.0100294	0.98457	0.0265694	0.00379907	0.944599	0.00329613	0.0209066	0.953269	0.0176165	0.0025247	0.96866	0.00270426	0.010433	0.975537	0.0141678	
106	0.0219643	0.924532	0.0429162	0.00812523	0.983278	0.0124258	0.0164701	0.940293	0.0533186	0.0108076	0.985967	0.0206552	0.00278926	0.937998	0.00401972	0.0227732	0.911495	0.031604	0.0020616	0.966388	0.00216933	0.0116857	0.972384	0.0137353	
107	0.0234008	0.911556	0.032239	0.0113072	0.97241	0.0113732	0.0424102	0.879743	0.0454496	0.0133626	0.976564	0.0208088	0.00302974	0.944128	0.00478654	0.0161033	0.91308	0.0226976	0.00321395	0.968078	0.00195502	0.0113644	0.953932	0.0104831	
108	0.0342324	0.833688	0.0543644	0.0201797	0.952615	0.040283	0.0553905	0.822532	0.0776284	0.0208261	0.943991	0.0407368	0.00346874	0.944584	0.00428367	0.0371316	0.85474	0.0350906	0.00250365	0.968896	0.0054707	0.0167511	0.934663	0.0176697	
109	0.0305389	0.836633	0.0337648	0.00888991	0.967866	0.0134633	0.0510709	0.838306	0.0523515	0.011996	0.965182	0.032051	0.00356753	0.943609	0.00526424	0.0190636	0.83317	0.0289645	0.00308716	0.967403	0.00407409	0.0168994	0.930217	0.0156018	
110	0.0354594	0.785623	0.0555839	0.0232756	0.942951	0.0274756	0.0614937	0.797356	0.0668816	0.0208112	0.936562	0.0436387	0.00646244	0.943972	0.00380714	0.0201454	0.845507	0.025862	0.00367023	0.968811	0.0045482	0.0122212	0.939645	0.0132352	
111	0.0642868	0.685989	0.0571853	0.0291021	0.914261	0.0301773	0.051447	0.694995	0.0870134	0.0308444	0.890453	0.0593757	0.00476336	0.939973	0.0044549	0.0227042	0.796275	0.024577	0.00267369	0.965955	0.00277902	0.0136389	0.918419	0.0208811	
112	0.052234	0.662444	0.0762671	0.017666	0.932386	0.0388101	0.0784055	0.684679	0.074523	0.0292535	0.890953	0.0516949	0.00434378	0.943334	0.00597555	0.0211273	0.773206	0.022885	0.00333594	0.9652	0.00341658	0.0173969	0.909948	0.0115612	
113	0.0864237	0.572493	0.0701441	0.0344958	0.895538	0.0384346	0.0628845	0.598612	0.078592	0.0479332	0.849752	0.040147	0.00373649	0.943994	0.0040676	0.020239	0.757923	0.0370449	0.00227159	0.966879	0.00356866	0.015251	0.895117	0.0208566	
114	0.0778631	0.538297	0.0739408	0.0312166	0.899715	0.0472159	0.0706786	0.576798	0.0850489	0.059043	0.839385	0.0539392	0.00430018	0.943898	0.00480146	0.0176504	0.740744	0.0187577	0.0020342	0.967214	0.0033986	0.0348259	0.88636	0.0283949	
115	0.0845929	0.425752	0.052574	0.0482968	0.838355	0.056903	0.104769	0.466946	0.0613575	0.0599077	0.744737	0.082119	0.00299228	0.942204	0.00222077	0.0216891	0.700342	0.0182868	0.00257112	0.965726	0.0027232	0.0298888	0.853611	0.0305463	
116	0.0782563	0.403156	0.0754592	0.0385018	0.865774	0.0669089	0.074637	0.437026	0.0769617	0.063325	0.759418	0.063551	0.0037232	0.939182	0.00335606	0.0240488	0.713649	0.0304018	0.00263523	0.962166	0.0035019	0.0321098	0.848747	0.0282871	
117	0.0805381	0.345716	0.0591501	0.0589875	0.810791	0.0821128	0.0729769	0.349655	0.0680628	0.0639935	0.702584	0.088514	0.00393136	0.942521	0.00311808	0.0146627	0.687435	0.0190067	0.00309231	0.966328	0.00322117	0.0416868	0.812404	0.0320948	
118	0.0496493	0.279658	0.053157	0.0375623	0.84284	0.0823173	0.0739441	0.30288	0.0763179	0.0440802	0.706704	0.109981	0.00433851	0.940087	0.00382937	0.0215784	0.670334	0.02286	0.00233479	0.966103	0.00259689	0.0341928	0.754644	0.073065	
119	0.0618954	0.245794	0.0510463	0.0694175	0.728456	0.139229	0.0648473	0.218375	0.0514227	0.0932096	0.571479	0.102356	0.00476715	0.942241	0.00375554	0.0172591	0.670401	0.0212476	0.00273105	0.965108	0.00326581	0.0704253	0.656414	0.0946731	
120	0.0952756	0.16592	0.0437279	0.0597303	0.690687	0.06422	0.0676458	0.126106	0.0429971	0.053243	0.545201	0.0620082	0.00438402	0.94292	0.00377376	0.0207669	0.657755	0.019996	0.00289492	0.964728	0.0021655	0.0705058	0.577404	0.074562	
121	0.0664427	0.0986305	0.0348197	0.0886826	0.543895	0.101987	0.0662135	0.0858672	0.0419359	0.0989343	0.402492	0.0913064	0.00263417	0.946585	0.0032402	0.0182505	0.62125	0.015035	0.0026782	0.9672	0.00316028	0.072307	0.403588	0.10565	
