 x	UtilityLEI	Song	EXPPF	QHMLWDF	
10	0.960931	0.945549	0.960807	0.955641	
11	0.967348	0.934734	0.96738	0.956857	
12	0.976595	0.941195	0.973915	0.969756	
13	0.949811	0.924317	0.959605	0.92422	
14	0.966222	0.927657	0.966008	0.945362	
15	0.930098	0.898477	0.955625	0.882211	
16	0.935353	0.878687	0.953914	0.891598	
17	0.909638	0.861985	0.948098	0.853451	
18	0.902813	0.863214	0.9463	0.848026	
19	0.942131	0.829694	0.949038	0.851799	
20	0.836075	0.82737	0.930007	0.743265	
22	0.824815	0.804963	0.924806	0.677063	
24	0.79291	0.790655	0.906825	0.556184	
26	0.760197	0.78507	0.903707	0.483621	
28	0.579388	0.755957	0.870833	0.352701	
