 x	UtilityLEIUP	UtilityLEI	UtilityLEIDOWN	QHMLWDFUP	QHMLWDF	QHMLWDFDOWN	SongUP	Song	SongDOWN	EXPPFUP	EXPPF	EXPPFDOWN	
10	0.015312	0.960931	0.0190086	0.0273147	0.955641	0.0447674	0.0164048	0.945549	0.0210634	0.0159833	0.960807	0.0149524	
11	0.0104415	0.967348	0.0119644	0.0177632	0.956857	0.0401567	0.0119781	0.934734	0.0188589	0.0100778	0.96738	0.00821628	
12	0.00681466	0.976595	0.00915559	0.0159366	0.969756	0.0312875	0.0127001	0.941195	0.021483	0.00663252	0.973915	0.0106215	
13	0.0178267	0.949811	0.0326737	0.0255415	0.92422	0.0771448	0.014496	0.924317	0.0221274	0.0120508	0.959605	0.0161715	
14	0.010169	0.966222	0.0111498	0.0171729	0.945362	0.0436047	0.0111426	0.927657	0.0175767	0.00926848	0.966008	0.00970884	
15	0.0226155	0.930098	0.050208	0.0538814	0.882211	0.0512015	0.015179	0.898477	0.0202843	0.00967241	0.955625	0.0119718	
16	0.0210446	0.935353	0.0624206	0.036212	0.891598	0.0655675	0.0186683	0.878687	0.0193504	0.0110009	0.953914	0.0130684	
17	0.0322891	0.909638	0.0569223	0.0424486	0.853451	0.107692	0.0226115	0.861985	0.0209068	0.0090561	0.948098	0.0112162	
18	0.0293068	0.902813	0.0557476	0.0451495	0.848026	0.052097	0.0232634	0.863214	0.0136366	0.0138387	0.9463	0.0105763	
19	0.0135844	0.942131	0.0404122	0.058191	0.851799	0.082051	0.0165566	0.829694	0.0171914	0.0137127	0.949038	0.0104063	
20	0.0522057	0.836075	0.0615062	0.0674401	0.743265	0.0663271	0.0217048	0.82737	0.0184744	0.0114766	0.930007	0.0110519	
22	0.0556412	0.824815	0.0632559	0.0514055	0.677063	0.0680567	0.0160034	0.804963	0.0141879	0.01167	0.924806	0.0140004	
24	0.0482491	0.79291	0.0592049	0.057732	0.556184	0.0706175	0.0195862	0.790655	0.0131967	0.0147476	0.906825	0.0133321	
26	0.059838	0.760197	0.0469302	0.0670016	0.483621	0.0731935	0.0141883	0.78507	0.015061	0.010335	0.903707	0.00728517	
28	0.0597766	0.579388	0.110804	0.0459059	0.352701	0.0556733	0.019142	0.755957	0.01354	0.0251864	0.870833	0.0192472	
