"No.","Time","Source","Destination","Protocol","Length","Data"
"4743","263.521843","192.168.1.30","192.168.0.20","Rlogin","60",
"4746","263.571079","192.168.1.30","192.168.0.20","Rlogin","83",
"4813","265.027819","192.168.1.30","192.168.0.20","Rlogin","66",
"4853","266.039779","192.168.1.30","192.168.0.20","Rlogin","60",
"4855","266.105268","192.168.1.30","192.168.0.20","Rlogin","60",
"4862","266.285206","192.168.1.30","192.168.0.20","Rlogin","60",
"4865","266.355214","192.168.1.30","192.168.0.20","Rlogin","60",
"4870","266.535244","192.168.1.30","192.168.0.20","Rlogin","60",
"4875","266.607182","192.168.1.30","192.168.0.20","Rlogin","60",
"5097","271.469892","192.168.1.30","192.168.0.20","Rlogin","60",
"5106","271.585434","192.168.1.30","192.168.0.20","Rlogin","60",
"5112","271.675136","192.168.1.30","192.168.0.20","Rlogin","60",
"5124","271.815564","192.168.1.30","192.168.0.20","Rlogin","60",
"5130","271.912455","192.168.1.30","192.168.0.20","Rlogin","60",
"5163","272.509746","192.168.1.30","192.168.0.20","Rlogin","60",
"5172","272.586246","192.168.1.30","192.168.0.20","Rlogin","60",
"5177","272.655196","192.168.1.30","192.168.0.20","Rlogin","60",
"5179","272.765160","192.168.1.30","192.168.0.20","Rlogin","60",
"5184","272.865139","192.168.1.30","192.168.0.20","Rlogin","60",
"5186","272.937145","192.168.1.30","192.168.0.20","Rlogin","60",
