"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"2962","183.998940","192.168.1.30","192.168.0.20","TELNET","81","","Telnet Data ..."
"2973","184.898138","192.168.1.30","192.168.0.20","TELNET","66","","Telnet Data ..."
"2978","184.966244","192.168.1.30","192.168.0.20","TELNET","102","","Telnet Data ..."
"2982","185.051311","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"2990","186.103201","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"2993","186.177785","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"2996","186.246123","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"2999","186.327751","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3002","186.436685","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3011","186.625161","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3018","187.270974","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3020","187.326835","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3022","187.427785","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3024","187.486203","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3026","187.547608","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3036","187.697569","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3038","187.779305","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3100","192.780916","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3103","192.863449","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3106","192.986075","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3109","193.066045","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3112","193.151705","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3115","193.309579","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3125","193.900387","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3127","193.956194","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3132","194.106067","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3136","194.166245","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3145","194.296259","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3147","194.395975","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3149","194.547848","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3194","199.281333","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3197","199.406160","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3203","199.463911","192.168.1.30","192.168.0.20","TELNET","84","","Telnet Data ..."
"3204","199.476442","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3208","199.585940","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3211","199.655873","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3214","199.838420","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3233","200.440549","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3235","200.495935","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3237","200.522433","192.168.1.30","192.168.0.20","TELNET","66","","Telnet Data ..."
"3242","200.556409","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3244","200.601627","192.168.1.30","192.168.0.20","TELNET","118","","Telnet Data ..."
"3246","200.616262","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3250","200.676062","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3252","200.756010","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3254","200.818003","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3259","200.911074","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3267","201.790465","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3270","201.844412","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3273","201.904434","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3276","201.974908","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3279","202.034848","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3282","202.094813","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3285","202.184836","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3288","202.244449","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3291","202.314345","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3295","202.432155","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3308","203.073332","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"3310","203.154645","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
