"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"858841","21084.902295","Cisco_38:46:33","Cisco_38:46:33","LOOP","60","000000000000000000000000000000000000000000000000...","Reply"
"858842","21085.169326","206.48.44.18","172.16.112.100","TCP","60","","1392  >  21 [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"858843","21085.169449","172.16.112.100","206.48.44.18","TCP","60","","21  >  1392 [SYN, ACK] Seq=0 Ack=1 Win=8760 Len=0 MSS=1460"
"858844","21085.170266","206.48.44.18","172.16.112.100","TCP","60","","1392  >  21 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"858845","21085.170614","172.16.112.100","206.48.44.18","FTP","101","","Response: 220 hume Microsoft FTP Service (Version 2.0)."
"858846","21085.172294","206.48.44.18","172.16.112.100","FTP","69","","Request: user anonymous"
"858847","21085.172617","172.16.112.100","206.48.44.18","FTP","126","","Response: 331 Anonymous access allowed, send identity (e-mail name) as password."
"858848","21085.174314","206.48.44.18","172.16.112.100","FTP","85","","Request: pass guestaccnt@compuserve.com"
"858849","21085.175268","172.16.112.100","206.48.44.18","FTP","85","","Response: 230 Anonymous user logged in."
"858850","21085.177033","206.48.44.18","172.16.112.100","FTP","80","","Request: port 199,199,199,199,0,80"
"858851","21085.177331","172.16.112.100","206.48.44.18","FTP","81","","Response: 500 Invalid PORT Command."
"858852","21085.178316","206.48.44.18","172.16.112.100","FTP","81","","Request: port 199,199,199,199,10,10"
"858853","21085.178571","172.16.112.100","206.48.44.18","FTP","81","","Response: 500 Invalid PORT Command."
"858854","21085.179488","206.48.44.18","172.16.112.100","FTP","61","","Request: cwd /c"
"858855","21085.180265","172.16.112.100","206.48.44.18","FTP","83","","Response: 250 CWD command successful."
"858856","21085.181221","206.48.44.18","172.16.112.100","FTP","72","","Request: stor ntis-ftp.txt"
"858857","21085.182800","172.16.112.100","206.48.44.18","FTP","112","","Response: 150 Opening ASCII mode data connection for ntis-ftp.txt."
"858858","21085.183313","172.16.112.100","206.48.44.18","TCP","60","","[TCP Port numbers reused] 20  >  20 [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
