"No.","Time","Source","Destination","Protocol","Length"
"29969","2953.054605","172.16.114.50","172.16.112.10","NTP","90"
"29970","2953.055042","172.16.112.10","172.16.114.50","NTP","90"
"29971","2953.583512","135.8.60.182","172.16.112.100","TCP","60"
"29972","2953.583707","3comFast_9c:b2:54","Broadcast","ARP","60"
"29973","2953.585693","Cisco_38:46:33","3comFast_9c:b2:54","ARP","60"
"29974","2953.585791","172.16.112.100","135.8.60.182","TCP","60"
"29975","2953.586756","135.8.60.182","172.16.112.100","TCP","60"
"29976","2953.588814","172.16.112.100","172.16.112.20","DNS","85"
"29977","2953.589894","172.16.112.20","172.16.112.100","DNS","151"
"29978","2953.591408","172.16.112.100","135.8.60.182","NBNS","92"
"29979","2953.592412","135.8.60.182","172.16.112.100","ICMP","120"
"29980","2954.249830","194.7.248.153","172.16.114.50","TCP","60"
"29981","2954.250152","WesternD_17:79:5a","Broadcast","ARP","60"
"29982","2954.251690","Cisco_38:46:33","WesternD_17:79:5a","ARP","60"
"29983","2954.251884","172.16.114.50","194.7.248.153","TCP","60"
"29984","2954.252825","194.7.248.153","172.16.114.50","TCP","60"
"29985","2954.255465","172.16.114.50","172.16.112.20","DNS","86"
"29986","2954.256241","172.16.112.20","192.168.1.20","DNS","86"
"29987","2954.260684","192.168.1.20","172.16.112.20","DNS","152"
"29988","2954.261266","172.16.112.20","172.16.114.50","DNS","152"
"29989","2954.296727","172.16.114.50","194.7.248.153","TCP","60"
"29990","2954.297536","194.7.248.153","172.16.114.50","TCP","60"
"29991","2954.297769","172.16.114.50","194.7.248.153","TCP","60"
"29992","2954.297879","172.16.114.50","194.7.248.153","TCP","63"
"29993","2954.311960","194.7.248.153","172.16.114.50","TCP","60"
"29994","2954.338585","194.7.248.153","172.16.114.50","TCP","91"
"29995","2954.338866","172.16.114.50","194.7.248.153","TCP","60"
"29996","2954.338965","194.7.248.153","172.16.114.50","TCP","60"
"29997","2954.339189","172.16.114.50","194.7.248.153","TCP","60"
"29998","2954.339903","194.7.248.153","172.16.114.50","TCP","60"
"29999","2954.341150","172.16.114.50","194.7.248.153","SMTP","136"
"30000","2954.351955","194.7.248.153","172.16.114.50","TCP","60"
"30001","2954.384675","194.7.248.153","172.16.114.50","SMTP","76"
"30002","2954.385258","172.16.114.50","194.7.248.153","SMTP","221"
"30003","2954.386512","194.7.248.153","172.16.114.50","SMTP","91"
"30004","2954.404155","172.16.114.50","194.7.248.153","TCP","60"
"30005","2954.491537","172.16.114.50","172.16.112.20","DNS","75"
"30006","2954.492015","172.16.112.20","172.16.114.50","DNS","146"
"30007","2954.496985","172.16.114.50","194.7.248.153","SMTP","98"
"30008","2954.497945","194.7.248.153","172.16.114.50","SMTP","89"
"30009","2954.498823","172.16.114.50","172.16.112.20","DNS","77"
"30010","2954.499301","172.16.112.20","172.16.114.50","DNS","174"
"30011","2954.501988","172.16.114.50","194.7.248.153","SMTP","101"
