"No.","Time","Source","Destination","Protocol","Length"
"860720","21144.643306","197.218.177.69","172.16.114.148","TELNET","60"
"860721","21144.656636","172.16.114.148","197.218.177.69","TCP","60"
"860722","21144.702603","135.8.60.182","172.16.113.50","TCP","60"
"860723","21144.821869","172.16.113.50","135.8.60.182","TCP","60"
"860724","21144.822102","172.16.113.50","172.16.112.50","TCP","60"
"860725","21144.822338","172.16.113.50","135.8.60.182","TCP","60"
"860726","21144.822578","135.8.60.182","172.16.113.50","TELNET","60"
"860727","21144.825210","172.16.113.50","135.8.60.182","TELNET","60"
"860728","21144.838984","172.16.113.50","195.73.151.50","TELNET","89"
"860729","21144.842584","135.8.60.182","172.16.113.50","TCP","60"
"860730","21144.852570","195.73.151.50","172.16.113.50","TCP","60"
"860731","21144.853663","172.16.113.50","195.73.151.50","TELNET","115"
"860732","21144.872563","195.73.151.50","172.16.113.50","TCP","60"
"860733","21144.892738","135.8.60.182","172.16.113.50","TELNET","60"
"860734","21144.952739","196.227.33.189","172.16.112.50","TELNET","60"
"860735","21144.953215","172.16.112.50","196.227.33.189","TELNET","60"
"860736","21144.972545","196.227.33.189","172.16.112.50","TCP","60"
"860737","21145.061275","Cisco_38:46:33","Cisco_38:46:33","LOOP","60"
"860738","21145.092545","135.8.60.182","172.16.113.50","TCP","60"
"860739","21145.107630","172.16.113.50","135.8.60.182","TCP","60"
"860740","21145.108306","135.8.60.182","172.16.113.50","TELNET","60"
"860741","21145.110757","172.16.113.50","135.8.60.182","TELNET","60"
"860742","21145.117867","172.16.113.50","195.73.151.50","TELNET","88"
"860743","21145.122520","135.8.60.182","172.16.113.50","TCP","60"
"860744","21145.122731","196.227.33.189","172.16.112.50","TELNET","60"
"860745","21145.123221","172.16.112.50","196.227.33.189","TELNET","60"
"860746","21145.123424","172.16.113.50","135.8.60.182","TELNET","60"
"860747","21145.132512","195.73.151.50","172.16.113.50","TCP","60"
"860748","21145.142506","135.8.60.182","172.16.113.50","TCP","60"
"860749","21145.142712","196.227.33.189","172.16.112.50","TCP","60"
"860750","21145.157354","206.48.44.18","172.16.112.100","FTP","60"
"860751","21145.157558","206.48.44.18","172.16.112.100","TCP","60"
"860752","21145.157703","172.16.112.100","206.48.44.18","TCP","60"
"860753","21145.157773","172.16.112.100","206.48.44.18","TCP","60"
"860754","21145.157872","172.16.112.100","206.48.44.18","TCP","60"
"860755","21145.158641","206.48.44.18","172.16.112.100","TCP","60"
"860756","21145.158801","172.16.112.100","206.48.44.18","TCP","60"
"860757","21145.158881","206.48.44.18","172.16.112.100","TCP","60"
"860758","21145.159048","206.48.44.18","172.16.112.100","TCP","60"
"860759","21145.160212","206.48.44.18","172.16.112.100","TCP","60"
"860760","21145.160419","206.48.44.18","172.16.112.100","TCP","60"
"860761","21145.160549","172.16.112.100","206.48.44.18","TCP","60"
"860762","21145.161097","206.48.44.18","172.16.112.100","TCP","60"
"860763","21145.161236","172.16.112.100","206.48.44.18","TCP","60"
"860764","21145.162116","206.48.44.18","172.16.112.100","TCP","60"
"860765","21145.162336","206.48.44.18","172.16.112.100","HTTP","71"
"860766","21145.188057","172.16.112.100","206.48.44.18","HTTP","252"
"860767","21145.188241","172.16.112.100","206.48.44.18","TCP","60"
"860768","21145.189103","206.48.44.18","172.16.112.100","TCP","60"
"860769","21145.189681","206.48.44.18","172.16.112.100","TCP","60"
"860770","21145.189824","172.16.112.100","206.48.44.18","TCP","60"
"860771","21145.190623","206.48.44.18","172.16.112.100","TCP","60"
