"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"31","30.251734","192.168.1.30","192.168.0.20","TELNET","84","","Telnet Data ..."
"35","31.151341","192.168.1.30","192.168.0.20","TELNET","66","","Telnet Data ..."
"40","31.227911","192.168.1.30","192.168.0.20","TELNET","114","","Telnet Data ..."
"44","31.520160","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"49","32.371017","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"52","32.456184","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"55","32.557426","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"58","32.656049","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"61","32.756059","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"64","33.013603","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"74","33.870806","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"76","34.125988","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"78","34.385723","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"80","34.645894","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"82","34.745767","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"84","34.996207","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"90","35.267483","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"159","38.141282","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"180","38.295916","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"191","38.516049","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"194","38.606276","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"197","38.698569","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"207","39.420289","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"210","39.575655","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"213","39.738271","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"244","40.560817","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"248","40.985832","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"251","41.415677","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"257","41.845816","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"260","42.008132","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"275","44.046113","192.168.1.30","192.168.0.20","TELNET","84","","Telnet Data ..."
"312","45.820249","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"316","46.178139","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"387","48.417113","192.168.1.30","192.168.0.20","TELNET","66","","Telnet Data ..."
"392","48.487988","192.168.1.30","192.168.0.20","TELNET","118","","Telnet Data ..."
"396","48.655643","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"401","49.662538","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"404","49.756520","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"407","49.815748","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"410","49.875704","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"413","49.935578","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"416","49.995558","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"419","50.139352","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"422","50.195588","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"425","50.255599","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"428","50.318379","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"434","50.960582","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"436","51.045671","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"438","51.275814","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"440","51.385676","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"442","51.615727","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"444","51.706011","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"446","51.795602","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"448","52.027688","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"495","60.400818","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"509","61.109851","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"576","64.991195","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"579","65.105640","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"582","65.217137","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"585","65.329148","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"594","66.540059","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"597","66.695486","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"600","66.895420","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"603","67.055428","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"606","67.327928","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"623","70.030229","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"628","70.398265","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"634","71.010367","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"637","71.075334","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"640","71.145374","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"643","71.215345","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"646","71.285344","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"649","71.365335","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"654","71.545603","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"659","71.665613","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"662","71.735336","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"665","71.936599","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"667","71.973038","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"671","72.015348","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"674","72.135327","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"677","72.205339","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"680","72.388281","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"689","73.110092","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
"694","73.215460","192.168.1.30","192.168.0.20","TELNET","60","","Telnet Data ..."
