"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"107","150.714303","135.13.216.191","172.16.112.100","FTP","70","","Request: USER anonymous"
"108","150.714639","172.16.112.100","135.13.216.191","FTP","126","","Response: 331 Anonymous access allowed, send identity (e-mail name) as password."
"109","150.733480","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=17 Ack=120 Win=32120 Len=0"
"110","151.264092","135.13.216.191","172.16.112.100","FTP","83","","Request: PASS emerye@alpha.apple.edu"
"111","151.396003","172.16.112.100","135.13.216.191","TCP","60","","21  >  1024 [ACK] Seq=120 Ack=46 Win=8715 Len=0"
"112","151.759546","172.16.112.100","135.13.216.191","FTP","85","","Response: 230 Anonymous user logged in."
"113","151.760462","135.13.216.191","172.16.112.100","FTP","60","","Request: SYST"
"114","151.760775","172.16.112.100","135.13.216.191","FTP","82","","Response: 215 Windows_NT version 4.0"
"115","151.773271","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=52 Ack=179 Win=32120 Len=0"
"116","152.595971","135.13.216.191","172.16.112.100","FTP","79","","Request: PORT 135,13,216,191,4,2"
"117","152.596243","172.16.112.100","135.13.216.191","FTP","84","","Response: 200 PORT command successful."
"118","152.597190","135.13.216.191","172.16.112.100","FTP","60","","Request: LIST"
"119","152.597470","172.16.112.100","135.13.216.191","FTP","107","","Response: 150 Opening ASCII mode data connection for /bin/ls."
"120","152.598048","172.16.112.100","135.13.216.191","TCP","60","","20  >  1026 [SYN] Seq=0 Win=8192 Len=0 MSS=1460"
"121","152.598825","135.13.216.191","172.16.112.100","TCP","60","","1026  >  20 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"122","152.598935","172.16.112.100","135.13.216.191","TCP","60","","20  >  1026 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"123","152.613110","135.13.216.191","172.16.112.100","TCP","60","","1024  >  21 [ACK] Seq=83 Ack=262 Win=32120 Len=0"
