"No.","Time","Source","Destination","Protocol","Length"
"175","160","135.13.216.191","172.16.112.100","FTP","80"
"176","160","172.16.112.100","135.13.216.191","FTP","84"
"177","160","135.13.216.191","172.16.112.100","FTP","65"
"178","160","172.16.112.100","135.13.216.191","FTP","118"
"179","160","172.16.112.100","135.13.216.191","TCP","60"
"180","160","135.13.216.191","172.16.112.100","TCP","60"
"181","160","172.16.112.100","135.13.216.191","TCP","60"
"182","160","135.13.216.191","172.16.112.100","TCP","60"
"185","160","135.13.216.191","172.16.112.100","TCP","60"
"189","160","135.13.216.191","172.16.112.100","TCP","60"
"194","160","135.13.216.191","172.16.112.100","TCP","60"
"200","160","135.13.216.191","172.16.112.100","TCP","60"
"207","160","135.13.216.191","172.16.112.100","TCP","60"
"209","160","135.13.216.191","172.16.112.100","TCP","60"
"210","160","172.16.112.100","135.13.216.191","TCP","60"
"211","160","172.16.112.100","135.13.216.191","FTP","78"
"212","160","135.13.216.191","172.16.112.100","TCP","60"
"213","160","135.13.216.191","172.16.112.100","TCP","60"
"214","160","172.16.112.100","135.13.216.191","TCP","60"
"215","160","135.13.216.191","172.16.112.100","TCP","60"
"217","164","172.16.0.1","224.0.0.9","RIPv2","86"
"218","170","172.16.112.20","172.16.112.10","NTP","90"
"219","170","172.16.112.10","172.16.112.20","NTP","90"
"220","171","172.16.112.20","172.16.255.255","RIPv1","66"
"221","171","172.16.112.20","172.16.118.255","RIPv1","66"
"222","171","135.13.216.191","172.16.112.100","FTP","60"
"223","171","172.16.112.100","135.13.216.191","FTP","60"
"224","171","172.16.112.100","135.13.216.191","TCP","60"
"225","171","135.13.216.191","172.16.112.100","TCP","60"
"226","171","135.13.216.191","172.16.112.100","TCP","60"
"227","171","172.16.112.100","135.13.216.191","TCP","60"
"228","172","192.168.1.10","172.16.112.10","NTP","90"
"230","179","172.16.113.50","172.16.112.10","NTP","90"
"231","179","172.16.112.10","172.16.113.50","NTP","90"
"233","185","172.16.112.50","172.16.112.10","NTP","90"
"234","185","172.16.112.10","172.16.112.50","NTP","90"
"235","190","172.16.0.1","224.0.0.9","RIPv2","86"
"238","201","172.16.112.20","172.16.255.255","RIPv1","66"
"239","201","172.16.112.20","172.16.118.255","RIPv1","66"
"240","201","172.16.114.50","172.16.112.10","NTP","90"
"241","201","172.16.112.10","172.16.114.50","NTP","90"
"243","206","192.168.1.10","172.16.112.20","DNS","77"
"244","206","172.16.112.20","192.168.1.10","DNS","142"
"245","206","196.37.75.158","172.16.114.50","TCP","60"
"248","206","172.16.114.50","196.37.75.158","TCP","60"
"249","206","196.37.75.158","172.16.114.50","TCP","60"
"252","206","172.16.114.50","172.16.112.20","DNS","86"
"253","206","172.16.112.20","192.168.1.20","DNS","86"
"254","206","192.168.1.20","172.16.112.20","DNS","152"
"255","206","172.16.112.20","172.16.114.50","DNS","152"
"256","206","172.16.114.50","196.37.75.158","TCP","60"
"257","206","196.37.75.158","172.16.114.50","TCP","60"
"258","206","172.16.114.50","196.37.75.158","TCP","60"
"259","206","172.16.114.50","196.37.75.158","TCP","63"
"260","206","196.37.75.158","172.16.114.50","TCP","60"
"261","206","192.168.1.10","172.16.112.20","DNS","86"
"262","206","172.16.112.20","192.168.1.10","DNS","173"
"263","206","196.37.75.158","172.16.114.50","TCP","92"
"264","206","172.16.114.50","196.37.75.158","TCP","60"
"265","206","196.37.75.158","172.16.114.50","TCP","60"
"266","206","172.16.114.50","196.37.75.158","TCP","60"
"267","206","196.37.75.158","172.16.114.50","TCP","60"
"268","206","172.16.114.50","196.37.75.158","SMTP","136"
"269","206","196.37.75.158","172.16.114.50","TCP","60"
"270","206","196.37.75.158","172.16.114.50","SMTP","79"
"271","206","172.16.114.50","196.37.75.158","SMTP","222"
"272","206","196.37.75.158","172.16.114.50","SMTP","95"
"273","206","172.16.114.50","196.37.75.158","TCP","60"
"274","206","172.16.114.50","172.16.112.20","DNS","78"
"275","206","172.16.112.20","192.168.1.20","DNS","78"
"276","206","192.168.1.20","172.16.112.20","DNS","134"
"277","206","172.16.112.20","192.168.1.10","DNS","78"
"278","206","192.168.1.10","172.16.112.20","DNS","150"
"279","206","172.16.112.20","172.16.114.50","DNS","150"
"280","206","172.16.114.50","196.37.75.158","SMTP","102"
"281","206","196.37.75.158","172.16.114.50","SMTP","92"
"282","206","172.16.114.50","172.16.112.20","DNS","77"
"283","206","172.16.112.20","172.16.114.50","DNS","174"
"284","206","172.16.114.50","196.37.75.158","SMTP","104"
"285","206","196.37.75.158","172.16.114.50","SMTP","60"
"286","206","172.16.114.50","196.37.75.158","SMTP","104"
"287","206","196.37.75.158","172.16.114.50","SMTP","1078"
"288","206","172.16.114.50","196.37.75.158","TCP","60"
"289","206","196.37.75.158","172.16.114.50","IMF","875"
"290","206","172.16.114.50","196.37.75.158","TCP","60"
"291","206","172.16.114.50","196.37.75.158","SMTP","98"
"292","206","196.37.75.158","172.16.114.50","SMTP","60"
"293","206","172.16.114.50","196.37.75.158","TCP","60"
"294","206","172.16.114.50","196.37.75.158","SMTP","96"
"295","206","172.16.114.50","196.37.75.158","TCP","60"
"296","206","196.37.75.158","172.16.114.50","TCP","60"
"297","206","192.168.1.10","172.16.112.20","DNS","77"
"298","206","172.16.112.20","192.168.1.10","DNS","142"
"299","206","196.37.75.158","172.16.114.50","TCP","60"
"300","206","172.16.114.50","196.37.75.158","TCP","60"
"301","206","196.37.75.158","172.16.114.169","TCP","60"
"302","206","172.16.114.169","196.37.75.158","TCP","60"
"303","206","196.37.75.158","172.16.114.169","TCP","60"
"304","206","172.16.114.50","172.16.112.20","DNS","79"
"305","206","172.16.112.20","172.16.114.50","DNS","176"
"306","206","172.16.114.50","172.16.112.20","DNS","77"
"307","206","172.16.112.20","172.16.114.50","DNS","174"
"308","206","172.16.114.169","196.37.75.158","SMTP","143"
"309","206","196.37.75.158","172.16.114.169","SMTP","79"
"310","206","172.16.114.169","196.37.75.158","TCP","60"
"311","206","172.16.114.169","196.37.75.158","SMTP","80"
"312","206","196.37.75.158","172.16.114.169","SMTP","79"
"313","206","172.16.114.169","196.37.75.158","SMTP","101"
"314","206","196.37.75.158","172.16.114.169","SMTP","95"
"315","206","172.16.114.169","196.37.75.158","SMTP","102"
"316","206","196.37.75.158","172.16.114.169","SMTP","90"
"317","206","172.16.114.169","196.37.75.158","SMTP","89"
"318","206","196.37.75.158","172.16.114.169","SMTP","60"
"319","206","172.16.114.169","196.37.75.158","SMTP","104"
"320","206","196.37.75.158","172.16.114.169","SMTP","1078"
"321","207","172.16.114.169","196.37.75.158","TCP","60"
"322","207","196.37.75.158","172.16.114.169","IMF","875"
"323","207","172.16.114.169","196.37.75.158","SMTP","73"
"324","207","196.37.75.158","172.16.114.169","SMTP","60"
"325","207","172.16.114.169","196.37.75.158","SMTP","78"
"326","207","172.16.114.169","196.37.75.158","TCP","60"
"327","207","196.37.75.158","172.16.114.169","TCP","60"
"328","207","192.168.1.10","172.16.112.20","DNS","79"
"329","207","172.16.112.20","192.168.1.10","DNS","144"
"330","207","196.37.75.158","172.16.114.169","TCP","60"
"331","207","172.16.114.169","196.37.75.158","TCP","60"
"332","207","196.37.75.158","172.16.114.207","TCP","60"
"333","207","172.16.114.207","196.37.75.158","TCP","60"
"334","207","196.37.75.158","172.16.114.207","TCP","60"
"335","208","172.16.114.207","196.37.75.158","SMTP","138"
"336","208","196.37.75.158","172.16.114.207","SMTP","79"
"337","208","172.16.114.207","196.37.75.158","SMTP","80"
"338","208","196.37.75.158","172.16.114.207","SMTP","79"
"339","208","172.16.114.207","196.37.75.158","SMTP","101"
"340","208","196.37.75.158","172.16.114.207","SMTP","95"
"341","208","172.16.114.207","196.37.75.158","SMTP","102"
"342","208","196.37.75.158","172.16.114.207","SMTP","92"
"343","208","172.16.114.207","196.37.75.158","SMTP","91"
"344","208","196.37.75.158","172.16.114.207","SMTP","60"
"345","208","172.16.114.207","196.37.75.158","SMTP","104"
"346","208","196.37.75.158","172.16.114.207","SMTP","1078"
"347","208","172.16.114.207","196.37.75.158","TCP","60"
"348","208","196.37.75.158","172.16.114.207","IMF","875"
"349","208","172.16.114.207","196.37.75.158","SMTP","73"
"350","208","196.37.75.158","172.16.114.207","SMTP","60"
"351","208","172.16.114.207","196.37.75.158","SMTP","78"
"352","208","172.16.114.207","196.37.75.158","TCP","60"
"353","208","196.37.75.158","172.16.114.207","TCP","60"
"354","208","196.37.75.158","172.16.114.207","TCP","60"
"355","208","172.16.114.207","196.37.75.158","TCP","60"
"356","214","172.16.112.100","172.16.112.10","NTP","90"
"357","214","172.16.112.10","172.16.112.100","NTP","90"
"359","216","135.8.60.182","172.16.112.100","TCP","60"
"360","216","172.16.112.100","135.8.60.182","TCP","60"
"361","216","172.16.0.1","224.0.0.9","RIPv2","86"
"362","216","135.8.60.182","172.16.112.100","TCP","60"
"363","216","172.16.112.100","135.8.60.182","FTP","101"
"364","216","135.8.60.182","172.16.112.100","TCP","60"
"365","217","135.8.60.182","172.16.112.100","FTP","70"
"366","217","172.16.112.100","135.8.60.182","FTP","126"
"367","217","135.8.60.182","172.16.112.100","TCP","60"
"368","217","135.8.60.182","172.16.112.100","FTP","85"
"369","217","172.16.112.100","135.8.60.182","FTP","85"
"370","217","135.8.60.182","172.16.112.100","FTP","60"
"371","217","172.16.112.100","135.8.60.182","FTP","82"
"372","217","135.8.60.182","172.16.112.100","TCP","60"
"373","218","135.8.60.182","172.16.112.100","FTP","78"
