 x1	  y1
0.6	 1
0.61	 0.999996
0.62	 0.999996
0.63	 0.999996
0.64	 0.999996
0.65	 0.999996
0.66	 0.999996
0.67	 0.999996
0.68	 0.999996
0.69	 0.999992
0.7	 0.999992
0.71	 0.999988
0.72	 0.999984
0.73	 0.999972
0.74	 0.999936
0.75	 0.999896
0.76	 0.9998
0.77	 0.999664
0.78	 0.999357
0.79	 0.998765
0.8	 0.997786
0.81	 0.996247
0.82	 0.993905
0.83	 0.989853
0.84	 0.984137
0.85	 0.975257
0.86	 0.962556
0.87	 0.944799
0.88	 0.921842
0.89	 0.892379
0.9	 0.852309
0.91	 0.805697
0.92	 0.747722
0.93	 0.683676
0.94	 0.606753
0.95	 0.518968
