No.,Time,Source,Destination,Protocol,Length
1,0.000000,HP_61:aa:c9,HP_61:aa:c9,LLC,54
2,0.860887,Cisco_04:41:bc,Cisco_04:41:bc,LOOP,118
3,1.500318,HP_61:aa:c9,HP_61:aa:c9,LLC,54
4,2.500354,HP_61:aa:c9,HP_61:aa:c9,LLC,54
5,3.499799,HP_61:aa:c9,HP_61:aa:c9,LLC,54
6,4.500962,HP_61:aa:c9,HP_61:aa:c9,LLC,54
7,5.500368,HP_61:aa:c9,HP_61:aa:c9,LLC,54
8,6.500653,HP_61:aa:c9,HP_61:aa:c9,LLC,54
9,7.500833,HP_61:aa:c9,HP_61:aa:c9,LLC,54
10,8.500322,HP_61:aa:c9,HP_61:aa:c9,LLC,54
11,9.500830,HP_61:aa:c9,HP_61:aa:c9,LLC,54
12,10.500790,HP_61:aa:c9,HP_61:aa:c9,LLC,54
13,10.860805,Cisco_04:41:bc,Cisco_04:41:bc,LOOP,118
14,11.999751,HP_61:aa:c9,HP_61:aa:c9,LLC,54
15,12.999904,HP_61:aa:c9,HP_61:aa:c9,LLC,54
16,14.000077,HP_61:aa:c9,HP_61:aa:c9,LLC,54
17,15.500624,HP_61:aa:c9,HP_61:aa:c9,LLC,54
18,16.500887,HP_61:aa:c9,HP_61:aa:c9,LLC,54
19,17.372248,192.168.1.30,192.168.0.11,ICMP,98
20,18.001384,HP_61:aa:c9,HP_61:aa:c9,LLC,54
21,20.501370,HP_61:aa:c9,HP_61:aa:c9,LLC,54
22,20.860756,Cisco_04:41:bc,Cisco_04:41:bc,LOOP,118
23,23.001853,HP_61:aa:c9,HP_61:aa:c9,LLC,54
24,24.000816,HP_61:aa:c9,HP_61:aa:c9,LLC,54
25,25.000218,HP_61:aa:c9,HP_61:aa:c9,LLC,54
26,27.424215,192.168.1.30,192.168.0.12,ICMP,98
27,28.001379,HP_61:aa:c9,HP_61:aa:c9,LLC,54
28,30.226767,192.168.1.30,192.168.0.20,TCP,60
29,30.231542,192.168.0.20,192.168.1.30,TCP,60
30,30.232008,192.168.1.30,192.168.0.20,TCP,60
31,30.251734,192.168.1.30,192.168.0.20,TELNET,84
32,30.302834,192.168.0.20,192.168.1.30,TCP,60
33,30.860700,Cisco_04:41:bc,Cisco_04:41:bc,LOOP,118
34,31.149678,192.168.0.20,192.168.1.30,TELNET,69
35,31.151341,192.168.1.30,192.168.0.20,TELNET,66
36,31.155590,192.168.0.20,192.168.1.30,TELNET,72
37,31.175024,192.168.1.30,192.168.0.20,TCP,60
38,31.175823,192.168.0.20,192.168.1.30,TELNET,75
39,31.194944,192.168.1.30,192.168.0.20,TCP,60
40,31.227911,192.168.1.30,192.168.0.20,TELNET,114
41,31.254403,192.168.0.20,192.168.1.30,TELNET,103
