 x	data2	data1	
0	0.81606	0.999447	
0.01	0.815876	0.999439	
0.02	0.815692	0.99943	
0.03	0.815508	0.999422	
0.04	0.815323	0.999413	
0.05	0.815138	0.999404	
0.06	0.814953	0.999395	
0.07	0.814768	0.999386	
0.08	0.814583	0.999377	
0.09	0.814397	0.999367	
0.1	0.814212	0.999358	
0.11	0.814026	0.999348	
0.12	0.81384	0.999338	
0.13	0.813653	0.999328	
0.14	0.813467	0.999318	
0.15	0.81328	0.999308	
0.16	0.813094	0.999297	
0.17	0.812907	0.999287	
0.18	0.812719	0.999276	
0.19	0.812532	0.999265	
0.2	0.812344	0.999254	
0.21	0.812157	0.999243	
0.22	0.811969	0.999231	
0.23	0.811781	0.99922	
0.24	0.811592	0.999208	
0.25	0.811404	0.999196	
0.26	0.811215	0.999184	
0.27	0.811026	0.999171	
0.28	0.810837	0.999159	
0.29	0.810648	0.999146	
0.3	0.810458	0.999133	
0.31	0.810269	0.99912	
0.32	0.810079	0.999107	
0.33	0.809889	0.999093	
0.34	0.809699	0.99908	
0.35	0.809508	0.999066	
0.36	0.809318	0.999052	
0.37	0.809127	0.999037	
0.38	0.808936	0.999023	
0.39	0.808745	0.999008	
0.4	0.808554	0.998993	
0.41	0.808362	0.998978	
0.42	0.80817	0.998963	
0.43	0.807978	0.998947	
0.44	0.807786	0.998931	
0.45	0.807594	0.998915	
0.46	0.807401	0.998899	
0.47	0.807209	0.998882	
0.48	0.807016	0.998865	
0.49	0.806823	0.998848	
0.5	0.806629	0.99883	
0.51	0.806436	0.998813	
0.52	0.806242	0.998795	
0.53	0.806049	0.998777	
0.54	0.805854	0.998758	
0.55	0.80566	0.99874	
0.56	0.805466	0.99872	
0.57	0.805271	0.998701	
0.58	0.805076	0.998682	
0.59	0.804881	0.998662	
0.6	0.804686	0.998641	
0.61	0.804491	0.998621	
0.62	0.804295	0.9986	
0.63	0.804099	0.998579	
0.64	0.803903	0.998558	
0.65	0.803707	0.998536	
0.66	0.803511	0.998514	
0.67	0.803314	0.998491	
0.68	0.803117	0.998469	
0.69	0.80292	0.998445	
0.7	0.802723	0.998422	
0.71	0.802526	0.998398	
0.72	0.802328	0.998374	
0.73	0.80213	0.998349	
0.74	0.801932	0.998325	
0.75	0.801734	0.998299	
0.76	0.801536	0.998274	
0.77	0.801337	0.998248	
0.78	0.801139	0.998221	
0.79	0.80094	0.998194	
0.8	0.80074	0.998167	
0.81	0.800541	0.998139	
0.82	0.800342	0.998111	
0.83	0.800142	0.998083	
0.84	0.799942	0.998054	
0.85	0.799742	0.998025	
0.86	0.799541	0.997995	
0.87	0.799341	0.997965	
0.88	0.79914	0.997934	
0.89	0.798939	0.997903	
0.9	0.798738	0.997871	
0.91	0.798537	0.997839	
0.92	0.798335	0.997806	
0.93	0.798133	0.997773	
0.94	0.797931	0.99774	
0.95	0.797729	0.997706	
0.96	0.797527	0.997671	
0.97	0.797324	0.997636	
0.98	0.797121	0.9976	
0.99	0.796918	0.997564	
1	0.796715	0.997527	
1.01	0.796512	0.99749	
1.02	0.796308	0.997452	
1.03	0.796104	0.997414	
1.04	0.7959	0.997375	
1.05	0.795696	0.997335	
1.06	0.795492	0.997295	
1.07	0.795287	0.997254	
1.08	0.795082	0.997213	
1.09	0.794877	0.997171	
1.1	0.794672	0.997128	
1.11	0.794467	0.997085	
1.12	0.794261	0.997041	
1.13	0.794055	0.996997	
1.14	0.793849	0.996951	
1.15	0.793643	0.996905	
1.16	0.793436	0.996859	
1.17	0.79323	0.996811	
1.18	0.793023	0.996763	
1.19	0.792816	0.996715	
1.2	0.792609	0.996665	
1.21	0.792401	0.996615	
1.22	0.792193	0.996564	
1.23	0.791985	0.996512	
1.24	0.791777	0.99646	
1.25	0.791569	0.996406	
1.26	0.79136	0.996352	
1.27	0.791152	0.996297	
1.28	0.790943	0.996242	
1.29	0.790734	0.996185	
1.3	0.790524	0.996128	
1.31	0.790315	0.996069	
1.32	0.790105	0.99601	
1.33	0.789895	0.99595	
1.34	0.789685	0.995889	
1.35	0.789474	0.995827	
1.36	0.789264	0.995764	
1.37	0.789053	0.995701	
1.38	0.788842	0.995636	
1.39	0.78863	0.99557	
1.4	0.788419	0.995504	
1.41	0.788207	0.995436	
1.42	0.787995	0.995367	
1.43	0.787783	0.995298	
1.44	0.787571	0.995227	
1.45	0.787358	0.995155	
1.46	0.787146	0.995082	
1.47	0.786933	0.995008	
1.48	0.78672	0.994933	
1.49	0.786506	0.994857	
1.5	0.786293	0.99478	
1.51	0.786079	0.994701	
1.52	0.785865	0.994622	
1.53	0.78565	0.994541	
1.54	0.785436	0.994459	
1.55	0.785221	0.994376	
1.56	0.785006	0.994291	
1.57	0.784791	0.994205	
1.58	0.784576	0.994118	
1.59	0.78436	0.99403	
1.6	0.784145	0.99394	
1.61	0.783929	0.993849	
1.62	0.783713	0.993757	
1.63	0.783496	0.993663	
1.64	0.78328	0.993568	
1.65	0.783063	0.993471	
1.66	0.782846	0.993373	
1.67	0.782628	0.993274	
1.68	0.782411	0.993173	
1.69	0.782193	0.99307	
1.7	0.781975	0.992966	
1.71	0.781757	0.992861	
1.72	0.781539	0.992754	
1.73	0.78132	0.992645	
1.74	0.781102	0.992535	
1.75	0.780883	0.992423	
1.76	0.780663	0.992309	
1.77	0.780444	0.992194	
1.78	0.780224	0.992077	
1.79	0.780004	0.991958	
1.8	0.779784	0.991837	
1.81	0.779564	0.991715	
1.82	0.779343	0.991591	
1.83	0.779123	0.991465	
1.84	0.778902	0.991337	
1.85	0.77868	0.991207	
1.86	0.778459	0.991076	
1.87	0.778237	0.990942	
1.88	0.778015	0.990806	
1.89	0.777793	0.990669	
1.9	0.777571	0.990529	
1.91	0.777348	0.990387	
1.92	0.777126	0.990243	
1.93	0.776903	0.990097	
1.94	0.776679	0.989949	
1.95	0.776456	0.989799	
1.96	0.776232	0.989646	
1.97	0.776009	0.989491	
1.98	0.775784	0.989334	
1.99	0.77556	0.989175	
2	0.775336	0.989013	
2.01	0.775111	0.988849	
2.02	0.774886	0.988682	
2.03	0.774661	0.988513	
2.04	0.774435	0.988342	
2.05	0.774209	0.988167	
2.06	0.773983	0.987991	
2.07	0.773757	0.987812	
2.08	0.773531	0.98763	
2.09	0.773304	0.987445	
2.1	0.773078	0.987258	
2.11	0.772851	0.987068	
2.12	0.772623	0.986875	
2.13	0.772396	0.986679	
2.14	0.772168	0.98648	
2.15	0.77194	0.986279	
2.16	0.771712	0.986074	
2.17	0.771484	0.985867	
2.18	0.771255	0.985656	
2.19	0.771026	0.985443	
2.2	0.770797	0.985226	
2.21	0.770568	0.985006	
2.22	0.770338	0.984783	
2.23	0.770108	0.984556	
2.24	0.769878	0.984327	
2.25	0.769648	0.984094	
2.26	0.769418	0.983857	
2.27	0.769187	0.983617	
2.28	0.768956	0.983374	
2.29	0.768725	0.983127	
2.3	0.768493	0.982876	
2.31	0.768262	0.982622	
2.32	0.76803	0.982364	
2.33	0.767798	0.982102	
2.34	0.767566	0.981836	
2.35	0.767333	0.981567	
2.36	0.7671	0.981293	
2.37	0.766867	0.981016	
2.38	0.766634	0.980735	
2.39	0.766401	0.980449	
2.4	0.766167	0.98016	
2.41	0.765933	0.979866	
2.42	0.765699	0.979568	
2.43	0.765464	0.979265	
2.44	0.76523	0.978959	
2.45	0.764995	0.978647	
2.46	0.76476	0.978332	
2.47	0.764524	0.978011	
2.48	0.764289	0.977687	
2.49	0.764053	0.977357	
2.5	0.763817	0.977023	
2.51	0.76358	0.976683	
2.52	0.763344	0.976339	
2.53	0.763107	0.97599	
2.54	0.76287	0.975636	
2.55	0.762633	0.975277	
2.56	0.762395	0.974913	
2.57	0.762158	0.974544	
2.58	0.76192	0.974169	
2.59	0.761681	0.973789	
2.6	0.761443	0.973403	
2.61	0.761204	0.973012	
2.62	0.760965	0.972615	
