 x	UtilityLEI	Song	EXPPF	QHMLWDF	
50	0.970363	0.967322	0.974827	0.993476	
100	0.964282	0.945549	0.970087	0.991558	
150	0.958088	0.929473	0.96582	0.983985	
180	0.951739	0.921727	0.95791	0.973157	
190	0.947267	0.91916	0.953756	0.967253	
200	0.942009	0.919138	0.949535	0.964006	
210	0.933351	0.915071	0.942389	0.954728	
220	0.923936	0.909715	0.935041	0.943965	
230	0.912031	0.901878	0.924206	0.934559	
240	0.899936	0.896594	0.917976	0.921548	
250	0.875806	0.8893	0.905743	0.908268	
260	0.841681	0.883041	0.892844	0.893539	
270	0.775866	0.871209	0.878438	0.872091	
280	0.672383	0.863291	0.864728	0.861683	
290	0.587291	0.857634	0.851917	0.848908	
300	0.425416	0.842611	0.824808	0.822922	
