 x	UtilityLEIUP	UtilityLEI	UtilityLEIDOWN	QHMLWDFUP	QHMLWDF	QHMLWDFDOWN	SongUP	Song	SongDOWN	EXPPFUP	EXPPF	EXPPFDOWN	
50	0.00380494	0.970363	0.00380359	0.00261163	0.993476	0.00203896	0.00340261	0.967322	0.00583421	0.00751632	0.974827	0.0038541	
100	0.00321062	0.964282	0.00353568	0.0022624	0.991558	0.00123032	0.00467274	0.945549	0.00551676	0.00259547	0.970087	0.00400895	
150	0.00181282	0.958088	0.0042976	0.00162101	0.983985	0.00256308	0.00414267	0.929473	0.00393521	0.00334956	0.966163	0.00222252	
180	0.00425256	0.951739	0.00329313	0.00299012	0.973157	0.00374975	0.00289033	0.921727	0.00384579	0.0026029	0.95791	0.00297296	
190	0.00399827	0.947267	0.00346153	0.00307298	0.967253	0.00515363	0.00389193	0.91916	0.00329783	0.00338046	0.953756	0.0034693	
200	0.00410503	0.942009	0.00545097	0.00360116	0.964006	0.00517788	0.00380891	0.919138	0.00376884	0.00325805	0.949535	0.00358369	
210	0.00376685	0.933351	0.00318256	0.00446049	0.954728	0.00285851	0.0022995	0.915071	0.00335981	0.00273827	0.942389	0.00390185	
220	0.00465127	0.923936	0.00590272	0.00770093	0.943965	0.00643231	0.00297182	0.909715	0.00406248	0.00552478	0.935041	0.0042091	
230	0.00355355	0.912031	0.00988289	0.00463428	0.934559	0.00693559	0.00633401	0.901878	0.00352447	0.00497856	0.924206	0.00578931	
240	0.00640255	0.899936	0.00677406	0.00377814	0.921548	0.00575111	0.00462521	0.896594	0.00292182	0.00449296	0.917976	0.00466547	
250	0.00787645	0.875806	0.0123715	0.00689844	0.908268	0.0104293	0.00424401	0.8893	0.00323467	0.00649533	0.905743	0.00491192	
260	0.0128557	0.841681	0.0113413	0.00588521	0.893539	0.00855572	0.00322487	0.883041	0.00249874	0.00525446	0.892844	0.00606385	
270	0.0244776	0.775866	0.0336348	0.00797708	0.872091	0.00842897	0.003415	0.871209	0.00358819	0.00591589	0.878438	0.00537689	
280	0.0347157	0.672383	0.0422222	0.0103082	0.861683	0.00958384	0.00387042	0.863291	0.00466461	0.00616436	0.864728	0.0089459	
290	0.0394825	0.587291	0.0406898	0.00897865	0.848908	0.00803734	0.00336511	0.857634	0.00222717	0.00632234	0.851917	0.00909265	
300	0.0406742	0.425416	0.0507165	0.0101891	0.822922	0.00917441	0.00415309	0.842611	0.00532519	0.0124475	0.824808	0.0080727	
